United_States	5302153	0.002209359512533595
2007	84707	0.0014099756187816366
2008	88822	0.0013586752911541287
Geographic_coordinate_system	1921890	0.001252922460569376
United_Kingdom	5300058	0.0010108623085304637
2006	81615	8.667520417343134E-4
France	1804986	7.333235280577378E-4
Wikimedia_Commons	5535280	7.243712330737046E-4
Wiktionary	5535664	6.575311781782034E-4
Canada	896161	6.497972071116346E-4
2005	79583	6.175394797034801E-4
England	1601519	6.04170137022616E-4
Biography	687324	6.003675121433222E-4
Germany	1948883	5.849412865615936E-4
United_States_postal_abbreviations	5308545	5.513193837099443E-4
Australia	505135	5.290595901260609E-4
English_language	1603276	5.179609256461322E-4
June_15	2640611	5.105182434006226E-4
World_War_II	5596267	5.069626191212584E-4
Japan	2497500	4.851001627208616E-4
List_of_U._S._postal_abbreviations	2995510	4.698288994040508E-4
Europe	1650573	4.6395048577019444E-4
India	2370447	4.495919584862455E-4
2004	77935	4.365862330905947E-4
Italy	2437900	4.0352218346139177E-4
Music_genre	3492254	3.9811381035332824E-4
Race_and_ethnicity_in_the_United_States_Census	4141787	3.953123078342447E-4
Internet_Movie_Database	2401294	3.914101947105265E-4
Record_label	4189168	3.867804976124913E-4
Biological_classification	687618	3.7901573106808537E-4
Plural	3988566	3.697000556629321E-4
London	3072654	3.6441091104582257E-4
Area	434174	3.558258463646112E-4
Russia	4351989	3.432613626657996E-4
Population_density	4015997	3.415211394681675E-4
Spain	4696900	3.4139709102744113E-4
Binomial_nomenclature	686242	3.3976054603903553E-4
2003	76573	3.3825309476962233E-4
Latin	2876077	3.33368205361725E-4
Digital_object_identifier	1386743	3.2836159171656355E-4
New_York_City	3603437	3.260144282843706E-4
Time_zone	5115901	3.2214797814768785E-4
Association_football	478879	3.190712858005955E-4
Website	5492723	3.0740112818381253E-4
Roman_Catholic_Church	4302220	2.918457959723607E-4
Poland	3997849	2.908705156933415E-4
2001	74165	2.902807318686929E-4
China	1033539	2.8499064090490206E-4
2002	75323	2.813074123832398E-4
Public_domain	4089591	2.808081904160274E-4
Netherlands	3587465	2.74686261186023E-4
Abbreviation	181909	2.704229217258718E-4
Scotland	4490320	2.6165279555028317E-4
Population	4015913	2.6161208775414227E-4
French_language	1840972	2.589164700179258E-4
Sweden	4856540	2.5676818291969224E-4
California	880698	2.520635536584991E-4
World_War_I	5596263	2.505056217871289E-4
New_York	3603035	2.500990390338934E-4
2000	72989	2.4878115467777797E-4
List_of_countries	3013310	2.47699176958141E-4
Personal_name	3915373	2.4312406586861934E-4
Paris	3850181	2.4292837774973755E-4
Soviet_Union	4693429	2.3975272884239332E-4
German_language	1947988	2.3789130826065748E-4
New_Zealand	3607033	2.363433967299526E-4
Daylight_saving_time	1319777	2.3456331548606248E-4
North_America	3662151	2.3149698774290568E-4
Animal	380090	2.299485296509869E-4
Romania	4306671	2.2861551322422984E-4
Square_kilometre	4720025	2.2769133823496025E-4
Football_(soccer)	1781824	2.2461380734733279E-4
1999	66877	2.2161057395909652E-4
Greek_language	2041772	2.2115578077715637E-4
Brazil	774931	2.2111528222793216E-4
Mexico	3335081	2.2053538146535806E-4
Switzerland	4861926	2.1595171638175798E-4
Television	4936083	2.1489330678116527E-4
Metre	3331185	2.0868650562245222E-4
Africa	229601	2.0623857813657851E-4
Elevation	1569176	2.0464817986939917E-4
Norway	3674975	2.026817061552012E-4
Record_producer	4189215	1.9720928561684927E-4
Film	1741340	1.925418414446025E-4
Ireland	2415295	1.9225898614669298E-4
Asia	472437	1.9048289547735065E-4
1998	65954	1.865082136027623E-4
South_Africa	4681238	1.8644933357465882E-4
January_1	2496661	1.8553297486415774E-4
Washington,_D.C.	5477621	1.8519996803721453E-4
Greece	2040703	1.8451070483226916E-4
Mathematics	3266921	1.8398252041072012E-4
Belgium	630330	1.829003324727559E-4
Arabic_language	421957	1.8182917213543215E-4
Politician	4003069	1.806624622206276E-4
Square_mile	4720054	1.8040146968770313E-4
Spanish_language	4698528	1.7999730420057268E-4
Russian_language	4353393	1.7918988859125923E-4
Austria	508777	1.7762837274857283E-4
Portugal	4023070	1.7672069933923073E-4
